Código Cliente;Nome do Cliente;Data de Cadastro;Valor do Contrato;Ativo;CPF;Observação
000001;João da Silva;27/02/2024;107.474,94;S;6c031199972a8469;
000002;Ana da Silva;23/03/2021;00000000208497,71;N;72ff5d2a386ecbe0;obs
000003;Antônio Ço-Testé;15/11/2024;443144.89;N;27cd813047229389;obs
000004;Luíza da Silva;08/07/2020;633.053,44;N;0b1f9163ce9ff57f;obs
000005;Ângela da Silva;2025-06-15;869.694,37;N;3139d32c93cd59bf;obs
000006;Ana Sá;20210411;;N;7412b29347294739;obs
000007;Maria Assunção;28/12/2021;679.515,87;S;a28defe39bf00273;obs
000008;Ângela Sá;16/05/2021;721.591,81;S;5304317faf42e12f;obs
000009;José Ço-Testé;20200306;00000000221232,08;N;a7cad415366eb16f;obs
000010;Camões Sá;28/07/2022;588.638,95;N;95a76d79bf3c4c06;obs
000011;Camões Assunção;;95.326,63;S;1c11f735dc713d96;obs
000012;Maria Ço-Testé;25/10/2023;624.835,48;N;405cacec877409a9;obs
000013;Ana Sá;16/01/2024;279787.96;N;4b22d3081c8eaee9;obs
000014;Maria Ferreira;2020-01-07;524903.33;S;e9a1fa6f81f76d1c;obs
000015;Antônio Ço-Testé;01/08/2023;799.551,47;S;f4188f3f8a14be62;obs
000016;Ana Müller;25/10/2021;921.407,46;N;0ed42f1a3d4cbf37;obs
000017;João da Silva;07/02/2024;558.583,97;S;a8e56e0c20de435d;obs
000018;Ângela Gonçalves;26/06/2021;00000000974037,27;S;4fcca39ab683d2e6;obs
000019;Luíza Ferreira;16/01/2025;67.137,28;N;969b666205628059;obs
000020;José Müller;27/03/2021;240063.07;S;080aadfbe7c99b26;obs
000021;João Müller;02/05/2021;00000000138740,69;N;c8dcd19f3e351128;obs
000022;Camões Gonçalves;12/07/2020;00000000431072,54;N;baa4b71add2467ac;obs
000023;João da Silva;20220404;260736.13;S;894a05e430b187ef;obs
000024;Maria Ferreira;10/01/2021;464.657,09;S;a6f2f7b80cf35b58;obs
000025;Ana da Silva;20250312;509.232,52;N;dd59ba7136b82481;obs
000026;Ana Gonçalves;15/02/2022;299.106,58;N;f512c4c3b253d218;obs
000027;Íris Gonçalves;23/01/2021;NaN;S;504867babf7b539b;obs
